Origin1,Word1,Def1,Origin2,Word2,Def2,Origin3,Word3,Def3,Origin4,Word4,Def4,Origin5,Word5,Def5,Origin6,Word6,Def6,Origin7,Word7,Def7,Origin8,Word8,Def8,Origin9,Word9,Def9,Origin10,Word10,Def10,Origin11,Word11,Def11,Origin12,Word12,Def12,Origin13,Word13,Def13,Origin14,Word14,Def14,Origin15,Word15,Def15,Origin16,Word16,Def16,Origin17,Word17,Def17,Origin18,Word18,Def18,Origin19,Word19,Def19
late Middle English,offense,N/A,Old French ,offens,"‘misdeed,’","Latin <i>offensus</i> ‘annoyance,’ reinforced by French ","offensus</i> ‘annoyance,’ reinforced by French <i>offense","‘annoyance,’","Latin <i>offensa</i> ‘a striking against, a hurt, or displeasure’; based on Latin ","offensa</i> ‘a striking against, a hurt, or displeasure’; based on Latin <i>offendere","‘a striking against, a hurt, or displeasure’; based on Latin <i>offendere</i> ‘strike against.’",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle English,innocence,N/A,Old French,N/A,N/A,Latin ,innocentia,N/A,Latin ,innocent-,‘not harming’,Latin ,nocere,‘injure’,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
